"","school","logo"
"272","Husson","http://a.espncdn.com/i/teamlogos/ncaa/500/2280.png"
"273","Idaho","http://a.espncdn.com/i/teamlogos/ncaa/500/70.png"
"274","Idaho State","http://a.espncdn.com/i/teamlogos/ncaa/500/304.png"
"275","Illinois","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png"
"276","Illinois College","http://a.espncdn.com/i/teamlogos/ncaa/500/2286.png"
"277","Illinois State","http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png"
"278","Illinois Wesleyan","http://a.espncdn.com/i/teamlogos/ncaa/500/306.png"
"279","Incarnate Word","http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png"
"280","Indiana","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png"
"281","Indiana (PA)","http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png"
"282","Indianapolis","http://a.espncdn.com/i/teamlogos/ncaa/500/2292.png"
"283","Indiana State","http://a.espncdn.com/i/teamlogos/ncaa/500/282.png"
"284","Iowa","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png"
"285","Iowa State","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png"
"286","Iowa Wesleyan","http://a.espncdn.com/i/teamlogos/ncaa/500/2295.png"
"287","Ithaca","http://a.espncdn.com/i/teamlogos/ncaa/500/175.png"
"288","Jackson State","http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png"
"289","Jacksonville","http://a.espncdn.com/i/teamlogos/ncaa/500/294.png"
"290","Jacksonville State","http://a.espncdn.com/i/teamlogos/ncaa/500/55.png"
"291","James Madison","http://a.espncdn.com/i/teamlogos/ncaa/500/256.png"
"292","Jamestown","http://a.espncdn.com/i/teamlogos/ncaa/500/2939.png"
"293","John Carroll","http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png"
"294","Johns Hopkins","http://a.espncdn.com/i/teamlogos/ncaa/500/118.png"
"295","Johnson C Smith","http://a.espncdn.com/i/teamlogos/ncaa/500/2304.png"
"296","Juniata","http://a.espncdn.com/i/teamlogos/ncaa/500/246.png"
"297","Kalamazoo","http://a.espncdn.com/i/teamlogos/ncaa/500/126.png"
"298","Kansas","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png"
"299","Kansas State","http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png"
"300","Kansas Wesleyan University","http://a.espncdn.com/i/teamlogos/ncaa/500/547.png"
"301","Kennesaw State","http://a.espncdn.com/i/teamlogos/ncaa/500/338.png"
"302","Kent State","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png"
"303","Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png"
"304","Kentucky State","http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png"
"305","Kentucky Wesleyan","http://a.espncdn.com/i/teamlogos/ncaa/500/2316.png"
"306","Kenyon","http://a.espncdn.com/i/teamlogos/ncaa/500/352.png"
"307","King's College (PA)","http://a.espncdn.com/i/teamlogos/ncaa/500/247.png"
